Name,State,Model,Repeated,Num Repeats,Rep Budget,Duration,Finished,Created,W&B Link
devout-sweep-1,running,344M,repeated,10,10%,133h 11m (running),,2026-04-15T18:08:07Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/5t9th95i
robust-sweep-2,running,344M,repeated,10,10%,133h 11m (running),,2026-04-15T18:08:10Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/jonhly9f
dauntless-sweep-2,finished,34M,repeated,3,10%,4h 2m,5d 5h ago,2026-04-15T21:19:03Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/et2u4bjf
snowy-sweep-3,finished,63M,repeated,3,10%,3h 30m,5d 4h ago,2026-04-15T22:56:41Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/9phk06vc
denim-sweep-3,finished,34M,repeated,13,10%,4h 1m,5d 1h ago,2026-04-16T01:21:24Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/bfw0t4bi
worthy-sweep-4,finished,63M,repeated,3,10%,11h 37m,4d 17h ago,2026-04-16T02:27:41Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/xwtuic79
woven-sweep-4,finished,34M,repeated,51,10%,4h 1m,4d 21h ago,2026-04-16T05:23:39Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/o4senftr
whole-sweep-5,finished,34M,repeated,193,10%,4h 1m,4d 17h ago,2026-04-16T09:25:53Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/73gzeu3c
graceful-sweep-6,finished,34M,repeated,719,10%,4h 1m,4d 13h ago,2026-04-16T13:28:01Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/aakp9qg7
copper-sweep-5,finished,63M,repeated,13,10%,3h 30m,4d 13h ago,2026-04-16T14:05:15Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mrug7pu6
distinctive-sweep-7,finished,34M,repeated,2682,10%,4h 2m,4d 9h ago,2026-04-16T17:30:15Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/puuasnph
eager-sweep-6,finished,63M,repeated,13,10%,11h 37m,4d 2h ago,2026-04-16T17:36:15Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/m7u4y7ym
hardy-sweep-8,finished,34M,repeated,10000,10%,4h 3m,4d 5h ago,2026-04-16T21:33:11Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/opzbzhu9
winter-sweep-9,finished,34M,non-repeated,1,10%,4h 1m,4d 1h ago,2026-04-17T01:37:06Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/cz3dgz3y
floral-sweep-7,finished,63M,repeated,51,10%,3h 30m,3d 22h ago,2026-04-17T05:16:07Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/z2x7ez4t
elated-sweep-10,finished,34M,repeated,3,10%,4h 2m,3d 21h ago,2026-04-17T05:39:20Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/8032gt9m
glad-sweep-8,finished,63M,repeated,51,10%,11h 37m,3d 10h ago,2026-04-17T08:47:22Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/9jdipcjv
silver-sweep-11,finished,34M,repeated,13,10%,4h 1m,3d 17h ago,2026-04-17T09:42:14Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/5xnyfiak
desert-sweep-2,finished,344M,repeated,10,10%,43h 22m,1d 23h ago,2026-04-17T12:53:10Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/bxzuaxd6
deep-sweep-12,finished,34M,repeated,51,10%,4h 1m,3d 13h ago,2026-04-17T13:44:26Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/8cua7fat
icy-sweep-13,finished,34M,repeated,193,10%,4h 2m,3d 9h ago,2026-04-17T17:46:35Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/rcut6tf7
pretty-sweep-9,finished,63M,repeated,99,10%,3h 30m,3d 7h ago,2026-04-17T20:25:42Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/hh65kihp
swift-sweep-14,finished,34M,repeated,719,10%,4h 2m,3d 5h ago,2026-04-17T21:48:59Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/ljeccd90
autumn-sweep-10,finished,63M,repeated,99,10%,11h 38m,2d 19h ago,2026-04-17T23:56:42Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/elgy38vk
cool-sweep-15,finished,34M,repeated,2682,10%,3h 51m,3d 1h ago,2026-04-18T01:51:27Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/5hd3nuow
wandering-sweep-16,finished,34M,repeated,10000,10%,4h 4m,2d 21h ago,2026-04-18T05:43:24Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/0rimptem
light-sweep-11,finished,63M,repeated,373,10%,3h 30m,2d 16h ago,2026-04-18T11:35:25Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/gh1jsgz3
happy-sweep-12,finished,63M,repeated,373,10%,11h 37m,2d 4h ago,2026-04-18T15:06:29Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/yjv28bli
whole-sweep-13,finished,63M,repeated,1388,10%,3h 31m,2d 1h ago,2026-04-19T02:44:44Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/xcqwdeqc
drawn-sweep-14,finished,63M,repeated,1388,10%,11h 39m,1d 13h ago,2026-04-19T06:16:30Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/pb3n8z8b
chocolate-sweep-3,finished,344M,repeated,50,10%,43h 24m,3h 39m ago,2026-04-19T08:15:53Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/gvzd63gn
lucky-sweep-15,finished,63M,repeated,193,10%,3h 31m,1d 9h ago,2026-04-19T17:56:28Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/7mrr1653
vague-sweep-16,finished,63M,repeated,193,10%,11h 44m,22h 7m ago,2026-04-19T21:28:20Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/rq6dvm83
deep-sweep-17,finished,63M,repeated,719,10%,3h 30m,18h 35m ago,2026-04-20T09:12:42Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/4890ar44
denim-sweep-18,finished,63M,repeated,719,10%,11h 38m,6h 56m ago,2026-04-20T12:43:51Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/v7m92alx
grateful-sweep-19,finished,63M,repeated,2682,10%,3h 38m,3h 17m ago,2026-04-21T00:23:10Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/kp3byycq
kind-sweep-4,running,344M,repeated,50,10%,3h 38m (running),,2026-04-21T03:40:45Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/e53q49n8
whole-sweep-20,running,63M,repeated,2682,10%,3h 17m (running),,2026-04-21T04:02:17Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/vrjrce7n
